feature,mean_abs_shap
cat__Profession_Official,0.0013556725
cat__CITY_Sambalpur,0.0013318714
cat__CITY_Thiruvananthapuram,0.0013236641
cat__Profession_Engineer,0.001288864
cat__CITY_Sonipat,0.0012635764
cat__CITY_Ichalkaranji,0.0012634441
cat__CITY_Sirsa,0.0012498728
cat__CITY_Bilaspur,0.0012452712
cat__CITY_Haldia,0.0012358376
cat__CITY_Sri_Ganganagar,0.0012341033
cat__CITY_Sangli-Miraj_&_Kupwad,0.0012334344
cat__CITY_Jamshedpur,0.0012136957
cat__CITY_Dharmavaram,0.0012125736
cat__CITY_Raebareli,0.0011795303
cat__STATE_Assam,0.0011718933
cat__STATE_Jammu_and_Kashmir,0.0011518952
cat__CITY_Varanasi,0.0011357167
cat__CITY_Rajahmundry[19][20],0.0011214943
cat__CITY_Aligarh,0.001109646
cat__CITY_Deoghar,0.0010911799
cat__CITY_Kakinada,0.0010895731
cat__CITY_Ratlam,0.0010883443
cat__CITY_Erode[17],0.0010868802
cat__CITY_Begusarai,0.0010842597
cat__CITY_Coimbatore,0.0010788529
cat__CITY_Gorakhpur,0.0010723723
cat__CITY_Gurgaon,0.0010667379
cat__CITY_Baranagar,0.0010581858
cat__CITY_Pudukkottai,0.0010353493
cat__CITY_Panchkula,0.0010319448
cat__CITY_Jhansi,0.0010208044
cat__CITY_North_Dumdum,0.0010204079
cat__CITY_Yamunanagar,0.0010085938
cat__CITY_Chennai,0.000998645
cat__CITY_Suryapet,0.0009909282
cat__CITY_Phusro,0.0009739855
cat__CITY_Miryalaguda,0.0009696107
cat__CITY_Haridwar,0.0009437788
cat__CITY_Bhilwara,0.0009345135
cat__CITY_Purnia[26],0.0009261742
cat__CITY_Pali,0.00091328047
cat__CITY_Anand,0.00090364984
cat__CITY_Bhilai,0.00090056896
cat__CITY_Berhampore,0.0008913307
cat__CITY_Karnal,0.00088713976
cat__CITY_Nagercoil,0.00088301045
cat__STATE_Sikkim,0.000843062
cat__CITY_Panvel,0.0008401189
cat__CITY_Naihati,0.00083918544
cat__CITY_Siliguri,0.00083800417
cat__CITY_Karimnagar,0.0008363509
cat__CITY_Amravati,0.00082967983
cat__CITY_Khandwa,0.000825342
cat__CITY_Firozabad,0.0008197097
cat__CITY_Ozhukarai,0.000805324
cat__CITY_Tadipatri,0.00079430244
cat__CITY_Udaipur,0.0007848938
cat__CITY_Kalyan-Dombivli,0.0007783907
cat__CITY_Thrissur,0.0007762856
cat__CITY_Bhopal,0.000771525
cat__CITY_Secunderabad,0.00075031363
cat__CITY_Solapur,0.0007461299
